level,model_key,steering_condition,n_profiles,mean_n_essays,mean_bfi_O,mean_bfi_N,rho_O_vs_target,p_O,rho_N_vs_target,p_N,mae_O,mae_N,standardized_mae_O,standardized_mae_N,mean_standardized_mae,slope_O,slope_N,mean_slope
author,deepseek-v3,lex_fewshot,80,5.94,48.0446,55.2747,-0.1439,0.202929108233831,0.1808,0.1084190462490557,25.9593,26.8705,0.8385,0.8339,0.8362,-0.0341,0.1208,0.0433
author,deepseek-v3,liwc_only,80,5.88,51.5281,56.0312,-0.173,0.12491433233083953,0.1031,0.36296789709117544,26.9325,28.5291,0.8699,0.8854,0.8777,-0.0472,0.0741,0.0135
author,deepseek-v3,persona_liwc,80,5.97,51.5719,60.4661,0.7723,4.9535260548201756e-17,0.8206,1.2056486560650392e-20,17.8488,13.4619,0.5765,0.4178,0.4971,0.4358,0.7252,0.5805
author,deepseek-v3,persona_only,80,5.91,57.176,64.4049,0.8266,3.655922491657229e-21,0.8823,2.9851442651612552e-27,20.028,12.3979,0.6469,0.3848,0.5159,0.5323,0.8591,0.6957
author,gpt-4o-mini,lex_fewshot,80,6.0,79.3177,49.2188,-0.0336,0.7673657020501062,0.1504,0.1828663162316217,40.6238,28.3646,1.3122,0.8803,1.0962,-0.0071,0.0857,0.0393
author,gpt-4o-mini,liwc_only,80,6.0,79.0052,50.2865,-0.1251,0.2687126405516032,0.0787,0.4875588401360135,40.7905,28.7881,1.3175,0.8934,1.1054,-0.022,0.0555,0.0168
author,gpt-4o-mini,persona_liwc,80,6.0,82.1094,57.1354,0.7683,8.929513634226394e-17,0.6636,1.9747807212033892e-11,41.2798,17.093,1.3333,0.5305,0.9319,0.2603,0.502,0.3811
author,gpt-4o-mini,persona_only,80,6.0,81.8021,53.5221,0.8265,3.702763720743048e-21,0.8383,3.0415310792360556e-22,40.8954,14.9131,1.3209,0.4628,0.8919,0.2842,0.5039,0.3941
author,qwen3-32b,lex_fewshot,80,6.0,59.3333,47.9232,-0.1169,0.3019516228600872,0.1688,0.13452657471712995,29.2176,28.792,0.9437,0.8935,0.9186,-0.0193,0.0708,0.0258
author,qwen3-32b,liwc_only,80,5.99,61.6708,45.8424,-0.1045,0.35631646607596634,0.0428,0.7064059131450384,29.9801,30.0074,0.9684,0.9313,0.9499,-0.0118,0.0267,0.0075
author,qwen3-32b,persona_liwc,80,6.0,63.0885,52.0573,0.8089,1.1310969046687383e-19,0.683,2.9669055570594475e-12,25.7384,18.4888,0.8314,0.5738,0.7026,0.3569,0.4363,0.3966
author,qwen3-32b,persona_only,80,6.0,64.3177,51.1914,0.8385,2.894882139306272e-22,0.8151,3.5288683524957514e-20,26.5093,14.0908,0.8562,0.4373,0.6467,0.3847,0.5575,0.4711
