level,model_key,steering_condition,n,mean_bfi_O,mean_bfi_N,rho_O_vs_target,p_O,rho_N_vs_target,p_N,mae_O,mae_N,standardized_mae_O,standardized_mae_N,mean_standardized_mae,slope_O,slope_N,mean_slope
essay,deepseek-v3,lex_fewshot,475,48.0135,55.4079,-0.0742,0.10618966181534105,0.1345,0.0033190163040319196,27.1981,30.0105,0.8785,0.9314,0.9049,-0.0347,0.118,0.0416
essay,deepseek-v3,liwc_only,470,51.6064,56.0638,-0.0909,0.04893698281601289,0.0805,0.0811134802733136,27.9998,31.028,0.9044,0.9629,0.9336,-0.0443,0.0769,0.0163
essay,deepseek-v3,persona_liwc,478,51.6213,60.5322,0.6427,4.77576183526934e-57,0.6997,1.6145764176707e-71,19.5016,17.338,0.6299,0.5381,0.584,0.4348,0.7253,0.58
essay,deepseek-v3,persona_only,473,57.3573,64.1715,0.7269,6.790325434797068e-79,0.7783,2.9968444888345173e-97,20.8944,14.6882,0.6749,0.4558,0.5654,0.5296,0.8588,0.6942
essay,gpt-4o-mini,lex_fewshot,480,79.3177,49.2188,-0.018,0.6945525329426054,0.1056,0.02071571481382948,41.431,30.1041,1.3382,0.9343,1.1362,-0.0071,0.0857,0.0393
essay,gpt-4o-mini,liwc_only,480,79.0052,50.2865,-0.0462,0.31286154730275234,0.061,0.18218364448587282,41.4961,30.31,1.3403,0.9406,1.1404,-0.022,0.0555,0.0168
essay,gpt-4o-mini,persona_liwc,480,82.1094,57.1354,0.5548,4.314850413067604e-40,0.6065,1.4657428735257717e-49,41.5003,18.4074,1.3405,0.5713,0.9559,0.2603,0.502,0.3811
essay,gpt-4o-mini,persona_only,480,81.8021,53.5221,0.5764,7.683841882625462e-44,0.6848,1.0807153358967375e-67,41.2201,16.5211,1.3314,0.5127,0.9221,0.2842,0.5039,0.3941
essay,qwen3-32b,lex_fewshot,480,59.3333,47.9232,-0.0311,0.49695748423565866,0.0975,0.032677625275161076,30.006,30.8506,0.9692,0.9574,0.9633,-0.0193,0.0708,0.0258
essay,qwen3-32b,liwc_only,479,61.6701,45.8638,-0.0194,0.6724582710976702,0.0213,0.6412918102504311,30.9477,32.1948,0.9996,0.9991,0.9993,-0.0118,0.0262,0.0072
essay,qwen3-32b,persona_liwc,480,63.0885,52.0573,0.6491,9.490745233614067e-59,0.5452,1.619330417834905e-38,26.25,21.2039,0.8479,0.658,0.753,0.3569,0.4363,0.3966
essay,qwen3-32b,persona_only,480,64.3177,51.1914,0.7126,1.3065895793516606e-75,0.6521,1.7975359202917066e-59,26.8574,17.4097,0.8675,0.5403,0.7039,0.3847,0.5575,0.4711
