model_key,steering_condition,n,mean_bfi_O,mean_bfi_N,rho_O_vs_target,p_O,rho_N_vs_target,p_N,o_match_rate,n_match_rate,cell_match_rate
deepseek-v3,lex_fewshot,36,76.7361,49.3056,0.327,0.05159215340299469,0.1593,0.3533602810626432,0.2778,0.3889,0.0556
deepseek-v3,liwc_only,36,63.5417,45.5729,-0.1621,0.3447469255211842,0.0849,0.6225289742103569,0.3333,0.4722,0.0833
deepseek-v3,persona_liwc,36,64.7222,53.7326,0.8746,3.166876425009861e-12,0.9226,1.273732933350452e-15,0.4722,0.8889,0.4167
deepseek-v3,persona_only,36,64.2361,54.9479,0.8986,1.03303147155703e-13,0.9456,3.7093093358833396e-18,0.3889,0.8889,0.3056
gpt-4o-mini,lex_fewshot,36,90.7639,42.4479,0.3638,0.029184406605087643,0.2206,0.1960084094332039,0.3333,0.5278,0.1389
gpt-4o-mini,liwc_only,36,90.625,45.3125,0.185,0.2801117682795571,0.2271,0.18285393569896344,0.3333,0.3333,0.1389
gpt-4o-mini,persona_liwc,36,78.4722,54.6007,0.7949,7.022882259137001e-09,0.8322,3.1573303188029843e-10,0.3333,0.8056,0.2778
gpt-4o-mini,persona_only,36,78.6111,57.5521,0.8108,2.0435319041537024e-09,0.9229,1.179007309475256e-15,0.3333,0.6667,0.2222
qwen3-32b,lex_fewshot,36,57.4306,34.2882,0.1423,0.40762705850002784,0.0535,0.7566464288111234,0.3889,0.3889,0.1111
qwen3-32b,liwc_only,36,64.3056,28.125,-0.0181,0.9164421875305528,0.122,0.4785173002013238,0.25,0.4167,0.0556
qwen3-32b,persona_liwc,36,67.5,50.9549,0.8436,1.0497628762024143e-10,0.857,2.5411509624711366e-11,0.3333,0.8889,0.2778
qwen3-32b,persona_only,36,68.125,51.7361,0.862,1.4440498219704474e-11,0.9319,1.529514378234017e-16,0.3611,0.9444,0.3333
