steering_condition,model_key,trait,n_authors,rho,calibration_slope,mae
lex_fewshot,deepseek-v3,O,80,-0.0045,0.0007,25.8742
lex_fewshot,deepseek-v3,N,80,-0.1077,-0.0193,27.1274
lex_fewshot,gpt-4o-mini,O,80,-0.0088,-0.0046,27.2945
lex_fewshot,gpt-4o-mini,N,80,0.1172,0.0183,26.2951
lex_fewshot,qwen3-32b,O,80,0.1201,0.0082,25.2624
lex_fewshot,qwen3-32b,N,80,-0.1196,-0.0126,27.6371
liwc_only,deepseek-v3,O,80,0.1673,0.0202,25.3682
liwc_only,deepseek-v3,N,80,-0.2186,-0.0275,27.7062
liwc_only,gpt-4o-mini,O,80,0.214,0.029,26.6573
liwc_only,gpt-4o-mini,N,80,0.1471,0.0207,26.1959
liwc_only,qwen3-32b,O,80,0.0087,-0.0095,26.4487
liwc_only,qwen3-32b,N,80,-0.0917,-0.0073,27.4865
persona_liwc,deepseek-v3,O,80,0.2843,0.0457,24.5222
persona_liwc,deepseek-v3,N,80,-0.0475,-0.0062,27.1313
persona_liwc,gpt-4o-mini,O,80,0.3236,0.0417,27.8637
persona_liwc,gpt-4o-mini,N,80,0.192,0.0237,26.4031
persona_liwc,qwen3-32b,O,80,0.2813,0.0366,25.4425
persona_liwc,qwen3-32b,N,80,0.2028,0.0241,26.0671
persona_only,deepseek-v3,O,80,0.2857,0.0438,25.6755
persona_only,deepseek-v3,N,80,-0.1175,-0.0116,26.9964
persona_only,gpt-4o-mini,O,80,0.2766,0.0422,28.4479
persona_only,gpt-4o-mini,N,80,-0.0349,0.003,26.6829
persona_only,qwen3-32b,O,80,0.0094,-0.0065,28.4622
persona_only,qwen3-32b,N,80,0.3508,0.0463,25.5425
