steering_condition,model_key,trait,n,rho,pearson_r,calibration_slope,mae,mean_pred,mean_target
lex_fewshot,deepseek-v3,O,480,0.0009,0.0015,0.0007,27.2699,52.5461,41.4484
lex_fewshot,deepseek-v3,N,480,-0.0476,-0.0571,-0.0193,27.7229,56.5621,57.3833
lex_fewshot,gpt-4o-mini,O,480,-0.0111,-0.0109,-0.0046,28.1702,55.8423,41.4484
lex_fewshot,gpt-4o-mini,N,480,0.0342,0.065,0.0183,26.5627,57.728,57.3833
lex_fewshot,qwen3-32b,O,480,0.0439,0.0207,0.0082,26.5287,52.146,41.4484
lex_fewshot,qwen3-32b,N,480,-0.0413,-0.0349,-0.0126,28.3328,52.4892,57.3833
liwc_only,deepseek-v3,O,480,0.0617,0.0484,0.0202,26.6335,52.1411,41.4484
liwc_only,deepseek-v3,N,480,-0.0713,-0.083,-0.0275,28.0655,56.3757,57.3833
liwc_only,gpt-4o-mini,O,480,0.0618,0.0661,0.029,27.7638,56.8761,41.4484
liwc_only,gpt-4o-mini,N,480,0.0824,0.079,0.0207,26.5112,58.3218,57.3833
liwc_only,qwen3-32b,O,480,-0.0188,-0.0236,-0.0095,27.3578,53.3593,41.4484
liwc_only,qwen3-32b,N,480,-0.0303,-0.0228,-0.0073,27.8787,54.5754,57.3833
persona_liwc,deepseek-v3,O,480,0.1056,0.1113,0.0457,25.8103,52.8054,41.4484
persona_liwc,deepseek-v3,N,480,-0.0327,-0.0191,-0.0062,27.8097,58.9288,57.3833
persona_liwc,gpt-4o-mini,O,480,0.1009,0.1037,0.0417,28.6635,59.7573,41.4484
persona_liwc,gpt-4o-mini,N,480,0.0835,0.0818,0.0237,26.6905,58.4128,57.3833
persona_liwc,qwen3-32b,O,480,0.1024,0.0926,0.0366,26.3623,53.6665,41.4484
persona_liwc,qwen3-32b,N,480,0.0662,0.0762,0.0241,26.6191,56.3872,57.3833
persona_only,deepseek-v3,O,480,0.097,0.1012,0.0438,26.8866,54.7877,41.4484
persona_only,deepseek-v3,N,480,-0.0322,-0.039,-0.0116,27.3056,58.3899,57.3833
persona_only,gpt-4o-mini,O,480,0.0819,0.1085,0.0422,29.2612,61.2657,41.4484
persona_only,gpt-4o-mini,N,480,-0.0045,0.0103,0.003,27.0564,54.9601,57.3833
persona_only,qwen3-32b,O,480,-0.0086,-0.0173,-0.0065,29.2344,57.759,41.4484
persona_only,qwen3-32b,N,480,0.1594,0.162,0.0463,26.0056,57.647,57.3833
