plan_id,profile_id,cell,content,steering_condition,repetition,model_key,target_O,target_N,pred_O,pred_N,err_O,err_N,n_words,standardized_mae
deepseek-v3__syn_0000__difficult_decision__persona_only__r0,syn_0000,,difficult_decision,persona_only,0,deepseek-v3,50.0,80.0,42.54882,54.228916,-7.451179504394531,-25.77108383178711,218,1.7473864936104868
deepseek-v3__syn_0000__memorable_journey__persona_only__r0,syn_0000,,memorable_journey,persona_only,0,deepseek-v3,50.0,80.0,55.05621,54.354702,5.056209564208984,-25.64529800415039,170,0.9105939326439072
deepseek-v3__syn_0000__difficult_decision__liwc_only__r0,syn_0000,,difficult_decision,liwc_only,0,deepseek-v3,50.0,80.0,65.29492,57.392384,15.294921875,-22.607616424560547,180,1.317229817976925
deepseek-v3__syn_0000__memorable_journey__persona_liwc__r0,syn_0000,,memorable_journey,persona_liwc,0,deepseek-v3,50.0,80.0,66.63635,56.132454,16.6363525390625,-23.86754608154297,72,2.2091365159786753
deepseek-v3__syn_0000__memorable_journey__lex_fewshot__r0,syn_0000,,memorable_journey,lex_fewshot,0,deepseek-v3,50.0,80.0,76.50227,70.24547,26.502273559570312,-9.754531860351562,181,2.686067504204906
deepseek-v3__syn_0000__daily_life_change__persona_only__r0,syn_0000,,daily_life_change,persona_only,0,deepseek-v3,50.0,80.0,45.03181,54.287193,-4.968189239501953,-25.712806701660156,187,0.8691070947641422
deepseek-v3__syn_0000__daily_life_change__liwc_only__r0,syn_0000,,daily_life_change,liwc_only,0,deepseek-v3,50.0,80.0,49.072453,69.7879,-0.9275474548339844,-10.21209716796875,188,1.4603822415083914
deepseek-v3__syn_0000__meaningful_relationship__persona_only__r0,syn_0000,,meaningful_relationship,persona_only,0,deepseek-v3,50.0,80.0,38.272133,54.47095,-11.727867126464844,-25.529048919677734,221,1.055156040878473
deepseek-v3__syn_0000__daily_life_change__lex_fewshot__r0,syn_0000,,daily_life_change,lex_fewshot,0,deepseek-v3,50.0,80.0,40.25364,49.266674,-9.746360778808594,-30.733325958251953,174,2.17028326456996
deepseek-v3__syn_0000__meaningful_relationship__lex_fewshot__r0,syn_0000,,meaningful_relationship,lex_fewshot,0,deepseek-v3,50.0,80.0,44.27935,41.38349,-5.720649719238281,-38.61650848388672,195,1.5525458490467705
deepseek-v3__syn_0000__childhood_memory__persona_only__r0,syn_0000,,childhood_memory,persona_only,0,deepseek-v3,50.0,80.0,76.15636,69.040634,26.156356811523438,-10.959365844726562,204,1.5710292063501083
deepseek-v3__syn_0000__childhood_memory__persona_liwc__r0,syn_0000,,childhood_memory,persona_liwc,0,deepseek-v3,50.0,80.0,59.87771,53.74473,9.877708435058594,-26.255268096923828,195,1.877286824375462
deepseek-v3__syn_0000__childhood_memory__lex_fewshot__r0,syn_0000,,childhood_memory,lex_fewshot,0,deepseek-v3,50.0,80.0,76.80892,61.098373,26.808921813964844,-18.901626586914062,194,1.3898173704547463
deepseek-v3__syn_0000__turning_point__persona_only__r0,syn_0000,,turning_point,persona_only,0,deepseek-v3,50.0,80.0,59.702736,69.71711,9.702735900878906,-10.282890319824219,221,2.722801229647077
deepseek-v3__syn_0000__turning_point__liwc_only__r0,syn_0000,,turning_point,liwc_only,0,deepseek-v3,50.0,80.0,63.27521,68.97368,13.275211334228516,-11.026321411132812,197,1.5838577753272096
qwen3-32b__syn_0000__memorable_journey__persona_only__r0,syn_0000,,memorable_journey,persona_only,0,qwen3-32b,50.0,80.0,70.10976,63.17578,20.109756469726562,-16.82421875,212,0.9452531909998908
qwen3-32b__syn_0000__difficult_decision__liwc_only__r0,syn_0000,,difficult_decision,liwc_only,0,qwen3-32b,50.0,80.0,47.970207,43.826694,-2.0297927856445312,-36.17330551147461,545,2.503510993295724
qwen3-32b__syn_0000__difficult_decision__persona_liwc__r0,syn_0000,,difficult_decision,persona_liwc,0,qwen3-32b,50.0,80.0,39.89985,58.00181,-10.100151062011719,-21.998191833496094,199,2.1436277946034856
qwen3-32b__syn_0000__memorable_journey__lex_fewshot__r0,syn_0000,,memorable_journey,lex_fewshot,0,qwen3-32b,50.0,80.0,63.011353,53.395695,13.0113525390625,-26.604305267333984,233,0.9320507695322132
qwen3-32b__syn_0000__memorable_journey__persona_liwc__r0,syn_0000,,memorable_journey,persona_liwc,0,qwen3-32b,50.0,80.0,57.7533,60.58178,7.753299713134766,-19.41822052001953,264,1.693511553612935
qwen3-32b__syn_0000__difficult_decision__lex_fewshot__r0,syn_0000,,difficult_decision,lex_fewshot,0,qwen3-32b,50.0,80.0,40.846813,63.155083,-9.153186798095703,-16.84491729736328,213,2.4097503415775368
qwen3-32b__syn_0000__memorable_journey__liwc_only__r0,syn_0000,,memorable_journey,liwc_only,0,qwen3-32b,50.0,80.0,63.560997,66.86247,13.560997009277344,-13.137527465820312,230,1.3234548793005878
qwen3-32b__syn_0000__daily_life_change__lex_fewshot__r0,syn_0000,,daily_life_change,lex_fewshot,0,qwen3-32b,50.0,80.0,45.03809,42.82424,-4.961910247802734,-37.175758361816406,566,4.951569692217793
qwen3-32b__syn_0000__difficult_decision__persona_only__r0,syn_0000,,difficult_decision,persona_only,0,qwen3-32b,50.0,80.0,62.583794,54.77187,12.583793640136719,-25.228130340576172,196,3.956484320305104
qwen3-32b__syn_0000__meaningful_relationship__liwc_only__r0,syn_0000,,meaningful_relationship,liwc_only,0,qwen3-32b,50.0,80.0,64.75842,49.82592,14.7584228515625,-30.17407989501953,239,0.9212431320044594
qwen3-32b__syn_0000__meaningful_relationship__persona_only__r0,syn_0000,,meaningful_relationship,persona_only,0,qwen3-32b,50.0,80.0,55.554955,56.74051,5.554954528808594,-23.259490966796875,181,1.230300681171251
qwen3-32b__syn_0000__daily_life_change__persona_only__r0,syn_0000,,daily_life_change,persona_only,0,qwen3-32b,50.0,80.0,56.59497,64.40816,6.594970703125,-15.591842651367188,631,1.1211962079344333
