profile_id,steering_condition,model_key,n_essays,n_words_concat,cell,target_O,target_N,target_emo_sad,target_focusfuture,target_mental,target_certitude,target_fatigue,target_Affect,target_adverb,target_swear,obs_emo_sad,obs_focusfuture,obs_mental,obs_certitude,obs_fatigue,obs_Affect,obs_adverb,obs_swear,raw_mae,standardized_mae,scored
syn_0000,lex_fewshot,deepseek-v3,6,1093,nan,50.0,80.0,0.16,0.88,0.03,0.96,0.0368114410281066,5.21,6.89,0.17,0.55,0.55,0.0,2.1,0.27,4.48,9.97,0.0,0.7628985698714867,1.9207786223301286,True
syn_0000,lex_fewshot,gpt-4o-mini,6,1156,nan,50.0,80.0,0.16,0.88,0.03,0.96,0.0368114410281066,5.21,6.89,0.17,0.95,1.13,0.0,0.78,0.09,5.89,7.1,0.0,0.2953985698714866,1.3063492511424863,True
syn_0000,lex_fewshot,qwen3-32b,6,2067,nan,50.0,80.0,0.16,0.88,0.03,0.96,0.0368114410281066,5.21,6.89,0.17,1.06,1.49,0.0,0.48,0.48,5.11,8.14,0.05,0.49164856987148675,2.5099853970762123,True
syn_0000,liwc_only,deepseek-v3,6,962,nan,50.0,80.0,0.16,0.88,0.03,0.96,0.0368114410281066,5.21,6.89,0.17,0.52,0.72,0.0,0.72,0.21,3.51,7.73,0.0,0.4591485698714868,1.2406838727755665,True
syn_0000,liwc_only,gpt-4o-mini,6,1145,nan,50.0,80.0,0.16,0.88,0.03,0.96,0.0368114410281066,5.21,6.89,0.17,0.96,1.66,0.0,0.52,0.0,5.14,6.97,0.0,0.30085143012851334,1.4597953186253656,True
syn_0000,liwc_only,qwen3-32b,6,1356,nan,50.0,80.0,0.16,0.88,0.03,0.96,0.0368114410281066,5.21,6.89,0.17,1.03,1.1,0.0,0.51,0.0,5.51,8.37,0.0,0.4446014301285133,1.5500544001716317,True
syn_0000,persona_liwc,deepseek-v3,6,923,nan,50.0,80.0,0.16,0.88,0.03,0.96,0.0368114410281066,5.21,6.89,0.17,0.97,1.08,0.0,1.72,0.0,5.17,9.16,0.0,0.5396014301285134,1.6472798109756237,True
syn_0000,persona_liwc,gpt-4o-mini,6,1186,nan,50.0,80.0,0.16,0.88,0.03,0.96,0.0368114410281066,5.21,6.89,0.17,0.34,1.26,0.0,0.51,0.0,7.08,7.08,0.0,0.4133514301285134,0.8338074648657239,True
syn_0000,persona_liwc,qwen3-32b,6,1373,nan,50.0,80.0,0.16,0.88,0.03,0.96,0.0368114410281066,5.21,6.89,0.17,0.65,0.65,0.07,0.22,0.07,6.71,7.36,0.0,0.4591485698714868,1.231226416406979,True
syn_0000,persona_only,deepseek-v3,6,1221,nan,50.0,80.0,0.16,0.88,0.03,0.96,0.0368114410281066,5.21,6.89,0.17,0.49,1.05,0.0,0.73,0.16,5.99,5.83,0.0,0.36164856987148664,1.0365325662320122,True
syn_0000,persona_only,gpt-4o-mini,6,1189,nan,50.0,80.0,0.16,0.88,0.03,0.96,0.0368114410281066,5.21,6.89,0.17,0.08,0.42,0.0,0.42,0.0,7.62,5.27,0.0,0.6683514301285134,0.9867752894328342,True
syn_0000,persona_only,qwen3-32b,6,1704,nan,50.0,80.0,0.16,0.88,0.03,0.96,0.0368114410281066,5.21,6.89,0.17,0.29,0.7,0.0,0.35,0.17,8.21,7.45,0.12,0.5866485698714868,1.0824695062143777,True
syn_0001,lex_fewshot,deepseek-v3,6,1031,nan,17.0,40.0,0.11,1.27,0.16,0.95,0.0,3.6252803571082217,7.04,0.17,0.0,2.6,0.0,1.44,0.1,2.31,10.39,0.0,0.8781600446385278,1.5665867534724494,True
syn_0001,lex_fewshot,gpt-4o-mini,6,1165,nan,17.0,40.0,0.11,1.27,0.16,0.95,0.0,3.6252803571082217,7.04,0.17,0.26,2.82,0.0,1.2,0.0,5.21,8.2,0.0,0.6280899553614722,1.165814691006745,True
syn_0001,lex_fewshot,qwen3-32b,6,1059,nan,17.0,40.0,0.11,1.27,0.16,0.95,0.0,3.6252803571082217,7.04,0.17,0.0,1.78,0.0,0.28,0.19,2.16,7.41,0.0,0.4556600446385277,1.2599952443382099,True
syn_0001,liwc_only,deepseek-v3,6,1178,nan,17.0,40.0,0.11,1.27,0.16,0.95,0.0,3.6252803571082217,7.04,0.17,0.0,1.6,0.0,1.68,0.0,2.86,9.6,0.0,0.6031600446385277,0.9982286517834165,True
