model_key,steering_condition,metric,point,boot_mean,ci95_lo,ci95_hi
deepseek-v3,persona_only,liwc_MAE_LIWC,1.2841,1.2837,1.2042,1.3585
deepseek-v3,persona_only,liwc_rho_LIWC,-0.0527,-0.0519,-0.1205,0.0185
deepseek-v3,persona_only,liwc_beta_LIWC,-0.055,-0.0563,-0.1474,0.0337
deepseek-v3,persona_only,emb_rho_O,0.2857,0.2834,0.1079,0.4512
deepseek-v3,persona_only,emb_rho_N,-0.1175,-0.1181,-0.2956,0.0597
deepseek-v3,persona_only,bfi_rho_O,0.8266,0.8217,0.7541,0.8766
deepseek-v3,persona_only,bfi_rho_N,0.8823,0.8779,0.8327,0.9127
deepseek-v3,persona_only,bfi_standardized_mae_O,0.6469,0.647,0.5861,0.7049
deepseek-v3,persona_only,bfi_standardized_mae_N,0.3848,0.3849,0.3298,0.4377
deepseek-v3,persona_only,bfi_MAE_BFI,0.5158,0.516,0.4801,0.5524
deepseek-v3,persona_only,bfi_slope_O,0.5323,0.5323,0.4682,0.5994
deepseek-v3,persona_only,bfi_slope_N,0.8591,0.8579,0.7752,0.9276
deepseek-v3,liwc_only,liwc_MAE_LIWC,2.7998,2.7983,2.5848,3.0129
deepseek-v3,liwc_only,liwc_rho_LIWC,0.707,0.7048,0.6713,0.7373
deepseek-v3,liwc_only,liwc_beta_LIWC,2.2343,2.2835,2.0416,2.7018
deepseek-v3,liwc_only,emb_rho_O,0.1673,0.1664,0.012,0.326
deepseek-v3,liwc_only,emb_rho_N,-0.2186,-0.2177,-0.3913,-0.0425
deepseek-v3,liwc_only,bfi_rho_O,-0.173,-0.1754,-0.3542,-0.0055
deepseek-v3,liwc_only,bfi_rho_N,0.1031,0.1028,-0.0713,0.2886
deepseek-v3,liwc_only,bfi_standardized_mae_O,0.8699,0.8709,0.7833,0.956
deepseek-v3,liwc_only,bfi_standardized_mae_N,0.8854,0.8844,0.7831,0.9807
deepseek-v3,liwc_only,bfi_MAE_BFI,0.8776,0.8777,0.8188,0.9381
deepseek-v3,liwc_only,bfi_slope_O,-0.0472,-0.0478,-0.0945,0.0005
