model_key,contrast,metric,point_delta,boot_mean_delta,ci95_lo,ci95_hi
deepseek-v3,liwc_only - persona_only,liwc_MAE_LIWC,1.5157,1.5146,1.2803,1.7544
deepseek-v3,liwc_only - persona_only,liwc_rho_LIWC,0.7597,0.7567,0.6782,0.8326
deepseek-v3,liwc_only - persona_only,liwc_beta_LIWC,2.2893,2.3398,2.0793,2.7653
deepseek-v3,liwc_only - persona_only,emb_rho_O,-0.1183,-0.117,-0.3362,0.1274
deepseek-v3,liwc_only - persona_only,emb_rho_N,-0.1011,-0.0996,-0.3155,0.1123
deepseek-v3,liwc_only - persona_only,bfi_rho_O,-0.9996,-0.9971,-1.1909,-0.796
deepseek-v3,liwc_only - persona_only,bfi_rho_N,-0.7793,-0.7751,-0.9472,-0.5911
deepseek-v3,liwc_only - persona_only,bfi_standardized_mae_O,0.223,0.2238,0.1222,0.3252
deepseek-v3,liwc_only - persona_only,bfi_standardized_mae_N,0.5006,0.4996,0.3817,0.608
deepseek-v3,liwc_only - persona_only,bfi_MAE_BFI,0.3618,0.3617,0.2922,0.4313
deepseek-v3,liwc_only - persona_only,bfi_slope_O,-0.5795,-0.5801,-0.6545,-0.5068
deepseek-v3,liwc_only - persona_only,bfi_slope_N,-0.785,-0.7841,-0.9011,-0.656
deepseek-v3,persona_liwc - persona_only,liwc_MAE_LIWC,1.3037,1.3017,1.1021,1.5031
deepseek-v3,persona_liwc - persona_only,liwc_rho_LIWC,0.674,0.6709,0.5986,0.7437
deepseek-v3,persona_liwc - persona_only,liwc_beta_LIWC,1.9052,1.9451,1.7329,2.2933
deepseek-v3,persona_liwc - persona_only,emb_rho_O,-0.0013,-0.0003,-0.248,0.2712
deepseek-v3,persona_liwc - persona_only,emb_rho_N,0.07,0.0698,-0.1117,0.2424
deepseek-v3,persona_liwc - persona_only,bfi_rho_O,-0.0543,-0.0544,-0.1373,0.0235
deepseek-v3,persona_liwc - persona_only,bfi_rho_N,-0.0617,-0.0612,-0.1205,-0.0033
deepseek-v3,persona_liwc - persona_only,bfi_standardized_mae_O,-0.0704,-0.0703,-0.1184,-0.0195
deepseek-v3,persona_liwc - persona_only,bfi_standardized_mae_N,0.033,0.0324,-0.0193,0.0822
deepseek-v3,persona_liwc - persona_only,bfi_MAE_BFI,-0.0187,-0.019,-0.0547,0.0168
deepseek-v3,persona_liwc - persona_only,bfi_slope_O,-0.0965,-0.0967,-0.1465,-0.0504
deepseek-v3,persona_liwc - persona_only,bfi_slope_N,-0.1339,-0.1331,-0.2066,-0.0531
deepseek-v3,persona_liwc - liwc_only,liwc_MAE_LIWC,-0.212,-0.2128,-0.3307,-0.0871
deepseek-v3,persona_liwc - liwc_only,liwc_rho_LIWC,-0.0857,-0.0858,-0.1219,-0.0491
deepseek-v3,persona_liwc - liwc_only,liwc_beta_LIWC,-0.3841,-0.3947,-0.5445,-0.2643
deepseek-v3,persona_liwc - liwc_only,emb_rho_O,0.117,0.1168,-0.0723,0.3016
deepseek-v3,persona_liwc - liwc_only,emb_rho_N,0.1711,0.1695,-0.0134,0.3556
deepseek-v3,persona_liwc - liwc_only,bfi_rho_O,0.9453,0.9427,0.7553,1.1176
deepseek-v3,persona_liwc - liwc_only,bfi_rho_N,0.7176,0.7139,0.5548,0.8618
deepseek-v3,persona_liwc - liwc_only,bfi_standardized_mae_O,-0.2934,-0.2941,-0.371,-0.2197
deepseek-v3,persona_liwc - liwc_only,bfi_standardized_mae_N,-0.4676,-0.4672,-0.5518,-0.3781
deepseek-v3,persona_liwc - liwc_only,bfi_MAE_BFI,-0.3805,-0.3807,-0.4313,-0.3291
deepseek-v3,persona_liwc - liwc_only,bfi_slope_O,0.483,0.4834,0.4205,0.5423
deepseek-v3,persona_liwc - liwc_only,bfi_slope_N,0.6512,0.651,0.5725,0.7281
gpt-4o-mini,liwc_only - persona_only,liwc_MAE_LIWC,0.7092,0.707,0.5798,0.8399
gpt-4o-mini,liwc_only - persona_only,liwc_rho_LIWC,0.5515,0.5482,0.4842,0.6092
gpt-4o-mini,liwc_only - persona_only,liwc_beta_LIWC,1.1206,1.1587,1.0028,1.4094
gpt-4o-mini,liwc_only - persona_only,emb_rho_O,-0.0626,-0.062,-0.2677,0.1545
gpt-4o-mini,liwc_only - persona_only,emb_rho_N,0.182,0.181,-0.0488,0.3916
gpt-4o-mini,liwc_only - persona_only,bfi_rho_O,-0.9517,-0.9456,-1.1225,-0.7695
gpt-4o-mini,liwc_only - persona_only,bfi_rho_N,-0.7595,-0.7534,-0.9299,-0.567
gpt-4o-mini,liwc_only - persona_only,bfi_standardized_mae_O,-0.0034,-0.003,-0.0616,0.0564
gpt-4o-mini,liwc_only - persona_only,bfi_standardized_mae_N,0.4306,0.4299,0.35,0.5052
gpt-4o-mini,liwc_only - persona_only,bfi_MAE_BFI,0.2136,0.2134,0.1619,0.2656
gpt-4o-mini,liwc_only - persona_only,bfi_slope_O,-0.3063,-0.3063,-0.356,-0.2575
gpt-4o-mini,liwc_only - persona_only,bfi_slope_N,-0.4484,-0.4473,-0.5398,-0.356
gpt-4o-mini,persona_liwc - persona_only,liwc_MAE_LIWC,0.1577,0.1575,0.0592,0.2572
gpt-4o-mini,persona_liwc - persona_only,liwc_rho_LIWC,0.4378,0.4352,0.36,0.5079
gpt-4o-mini,persona_liwc - persona_only,liwc_beta_LIWC,0.7031,0.7203,0.6279,0.8437
gpt-4o-mini,persona_liwc - persona_only,emb_rho_O,0.047,0.0455,-0.1597,0.2458
gpt-4o-mini,persona_liwc - persona_only,emb_rho_N,0.2268,0.2247,-0.0019,0.4435
gpt-4o-mini,persona_liwc - persona_only,bfi_rho_O,-0.0582,-0.0596,-0.1197,-0.0069
gpt-4o-mini,persona_liwc - persona_only,bfi_rho_N,-0.1747,-0.1752,-0.2728,-0.0886
gpt-4o-mini,persona_liwc - persona_only,bfi_standardized_mae_O,0.0124,0.0127,-0.0143,0.0403
gpt-4o-mini,persona_liwc - persona_only,bfi_standardized_mae_N,0.0677,0.0676,0.0175,0.1147
gpt-4o-mini,persona_liwc - persona_only,bfi_MAE_BFI,0.04,0.0401,0.0089,0.0709
gpt-4o-mini,persona_liwc - persona_only,bfi_slope_O,-0.0239,-0.0243,-0.0541,0.0071
gpt-4o-mini,persona_liwc - persona_only,bfi_slope_N,-0.0019,-0.0022,-0.0485,0.0427
gpt-4o-mini,persona_liwc - liwc_only,liwc_MAE_LIWC,-0.5515,-0.5495,-0.6415,-0.4536
