model_key,steering_condition,liwc_MAE_LIWC,liwc_rho_LIWC,liwc_beta_LIWC,liwc_n_profiles,emb_rho_O,emb_rho_N,emb_n_profiles,bfi_rho_O,bfi_rho_N,bfi_standardized_mae_O,bfi_standardized_mae_N,bfi_MAE_BFI,bfi_slope_O,bfi_slope_N,bfi_n_profiles,boot_id
gpt-4o-mini,persona_only,1.1021756484218392,0.06320252010618427,0.04615119758649845,50,0.3111840298936245,0.0012972351657024649,50,0.8063448681922557,0.8484331599647383,1.306189407739711,0.449176126420342,0.8776827670800265,0.2991305412811863,0.5262627098921041,50,908
gpt-4o-mini,lex_fewshot,1.6126852955385842,0.561833754287181,1.0763575418527402,52,-0.06287778230457751,0.011277475622201683,52,-0.027233861246439624,0.13474359577255124,1.2568485016980357,0.8869145268569039,1.0718815142774698,-0.0014535151866030692,0.08227851283923052,52,112
gpt-4o-mini,persona_liwc,1.2900946380465972,0.43776046681930836,0.7602774208749498,55,0.2162055372266683,0.2768042825539606,55,0.7640421815735914,0.6243095066517108,1.4655599630820506,0.5228261192217113,0.9941930411518809,0.26594772948402806,0.49124223246155596,55,781
deepseek-v3,lex_fewshot,2.9359971909211944,0.6489818293724856,2.2237130054696483,51,0.04795002278589275,-0.09021774321662769,51,-0.171754696557502,0.22795384020906928,0.8108655704817934,0.8066776250335405,0.8087715977576669,-0.042876426619342566,0.14613470210238014,51,689
deepseek-v3,lex_fewshot,2.9218828930594425,0.6165827439256847,1.9816305633816689,46,-0.19112890737802085,-0.03745180101745508,46,-0.09312093454515372,0.07633211386521122,0.7937182960927042,0.8352146505959048,0.8144664733443046,-0.03223227816860883,0.062250890030856224,46,1198
gpt-4o-mini,persona_only,1.0107179026171853,0.05146955509040495,0.010286758371199071,42,0.28200768115750086,0.16958496853433122,42,0.8634115143359211,0.845505049152206,1.2932214936401647,0.41753558930868884,0.8553785414744268,0.3141049535151885,0.5536092462549463,42,59
gpt-4o-mini,persona_only,1.1481770687711055,0.02656591141729937,0.00610889063594784,52,0.2445632259793308,-0.12630007438671995,52,0.8453531616122567,0.849629393383876,1.298603236103924,0.4504025004908329,0.8745028682973784,0.29991831727779117,0.4977788823042237,52,932
qwen3-32b,liwc_only,1.8172268920863466,0.5440927851271907,1.5907081885292322,44,-0.0003526467288258254,0.1015730130078071,44,-0.1804697563285552,0.11453669938525314,0.909115291394455,0.8500120964256929,0.8795636939100739,-0.021155316577237175,0.06547718987282644,44,454
deepseek-v3,lex_fewshot,3.0298626426195447,0.6289957845518762,2.4655220084789495,46,-0.004629345596133565,-0.07911384301472409,46,-0.11066852576023724,0.12918159826824122,0.7600951940267286,0.8446613484134442,0.8023782712200864,-0.028569327789511698,0.09167496923352711,46,1988
qwen3-32b,persona_only,1.1945887525461296,0.13311434219563642,0.17817931525792643,54,0.06774361345672432,0.3987340827089375,54,0.8331393315176238,0.7980692652088073,0.8396877162430707,0.39661438879000227,0.6181510525165365,0.40083246906861664,0.6112437106910211,54,1147
gpt-4o-mini,persona_only,1.1394324950584744,0.047151574373524685,0.03437479652810024,53,0.13546948243636348,-0.07898985024556061,53,0.8089509723913043,0.8194694571890848,1.414267894437801,0.48974025252750814,0.9520040734826546,0.2922180337171794,0.48955425647050804,53,1769
qwen3-32b,lex_fewshot,2.5079095545604555,0.551094983052343,1.7085905550324019,52,0.15510839435246837,-0.15111911124925967,52,-0.06770412428190815,0.22633086855647983,0.9915583331644183,0.8683141036037807,0.9299362183840996,-0.00012451162115544078,0.09888128252674706,52,757
deepseek-v3,liwc_only,2.740994109079213,0.7073253860573857,2.3997410404563295,50,0.14531828438285424,-0.2881234187319907,50,-0.19975478780825814,0.061267152773907846,0.9593643158434689,0.9343866310935859,0.9468754734685274,-0.06257115245912533,0.045751123241902746,50,1018
deepseek-v3,lex_fewshot,2.828500416976421,0.6050335645742486,2.1039572042047747,49,-0.06470561240305474,-0.1315568034355369,49,-0.08477261822260852,0.11773567945845938,0.829296914090927,0.8621437253438645,0.8457203197173957,-0.021648755550969727,0.064260776114807,49,379
deepseek-v3,liwc_only,2.638778188330714,0.6920535958419252,2.20832471408257,48,0.16793855539250088,-0.13755268326572248,48,-0.16888974457874073,0.07347950341151306,0.8302936339266699,0.9127778883280074,0.8715357611273387,-0.04854464475685924,0.07074950571751665,48,1489
gpt-4o-mini,lex_fewshot,1.7681377837029089,0.5778616751731989,1.0195469764616316,56,-0.10361227331028625,0.020961209324846675,56,0.013667427653965388,-0.011937541982378761,1.2242415126674036,0.8973058764602373,1.0607736945638204,-0.007454840761389596,0.010631922434694524,56,837
deepseek-v3,persona_only,1.2404545455192737,-0.03222869680356804,-0.02757079337107662,54,0.2191577723145551,-0.12368461627023819,54,0.7908464360032731,0.915560641398139,0.6408790225584138,0.37280258273277006,0.506840802645592,0.5689623992456986,0.8703575918631289,54,892
gpt-4o-mini,lex_fewshot,1.8391486305960885,0.6167425339486721,1.1918496195164847,51,-0.09848092498519047,0.16588946595991463,51,0.01921682475246917,0.1983424374339111,1.318833161597718,0.7693668532037776,1.0441000074007478,-0.0058391591735920964,0.13211573135729596,51,213
qwen3-32b,lex_fewshot,2.321352198663368,0.5000301532229565,1.6716172687772055,54,0.1150442780016944,-0.036074516787052126,54,-0.0702608893284614,0.1806962327462733,1.0161621678823722,0.8802985833336618,0.948230375608017,-0.011816316344153664,0.08927512306269723,54,51
deepseek-v3,persona_liwc,2.6688272048125783,0.6564862015848468,1.8241595206638368,50,0.3150889814218412,0.07149722709446658,50,0.7113910401872194,0.8294564942402871,0.6352767401087204,0.41354741399020967,0.524412077049465,0.4073351602116716,0.7248765526439973,50,236
deepseek-v3,liwc_only,2.97082520338576,0.7086673850487091,2.5083919851331746,50,0.18647899082904892,-0.13316040758490053,50,-0.1110763910715787,0.14818996890068295,0.860707882476702,0.8475742142786561,0.854141048377679,-0.02242199765542601,0.10363106003884087,50,140
gpt-4o-mini,persona_liwc,1.2359676760450997,0.4717988087376179,0.6967014201474829,51,0.38516748190673866,0.12988955194673635,51,0.7741519376389655,0.6603645706659614,1.3512803624330838,0.5390137356515728,0.9451470490423284,0.2747632556363572,0.49102722108630903,51,778
deepseek-v3,persona_liwc,2.625031362560559,0.6080724808313559,1.7310237121158063,46,0.3266970858670822,-0.15005400341754652,46,0.8118691644925514,0.7521523303185831,0.5379944890356837,0.48837104601076764,0.5131827675232257,0.49998583811995784,0.6150457137969063,46,1198
gpt-4o-mini,persona_only,1.0829283632198878,-0.01628374285832921,-0.016274951251766725,49,0.2638957200878652,-0.11181744658953048,49,0.8337420868542622,0.8557091314067677,1.3083115374758016,0.40964864146854474,0.8589800894721732,0.29872463073492217,0.5546894180846548,49,1470
deepseek-v3,lex_fewshot,3.1746541755315327,0.6552197778494997,2.138952532413515,53,-0.04737598224018193,-0.15404475265467757,53,-0.2180012838649558,0.11376932048558192,0.8789452646189498,0.8679244231781005,0.8734348438985251,-0.05332523667436636,0.08819444115381045,53,1308
deepseek-v3,lex_fewshot,2.992799285526909,0.6507389270519478,2.3435317872977945,53,0.11245161828007952,-0.15947708737254493,53,-0.0963894413398162,0.06219479570117594,0.8685261270745949,0.9098226900881242,0.8891744085813595,-0.018547200057008197,0.0393780274268978,53,727
gpt-4o-mini,liwc_only,1.7929731887074734,0.5666947869113761,1.015068628004959,51,0.05111257681656179,0.10209164853255158,51,-0.2573598289535143,0.05838655620430036,1.279949461709327,0.936316034167857,1.108132747938592,-0.0335804787347569,0.0333284623203654,51,1227
gpt-4o-mini,lex_fewshot,1.7193569927142358,0.5976712159193722,1.047382766332296,48,-0.09783261436628979,0.19056938967428355,48,-0.07188689675215708,0.32618741910023835,1.3182625632458356,0.8258525288247257,1.0720575460352806,-0.022986774699728485,0.16784448209447736,48,1700
deepseek-v3,persona_liwc,2.6823713493174903,0.6451142355303429,2.1873677471806743,51,0.2229315580542954,0.019919870504240204,51,0.8140920294211368,0.8291258538338102,0.5481074655332759,0.3995509092862985,0.4738291874097872,0.4558993076811165,0.7320131300337711,51,1542
deepseek-v3,lex_fewshot,3.3080338672932843,0.6418130871476873,2.1430182363197012,53,-0.06288954059969432,-0.1386015009568941,53,-0.16574809689556794,0.14117695173213268,0.8691277076297097,0.8011780820908099,0.8351528948602598,-0.03276371188352956,0.10074029700574996,53,514
deepseek-v3,persona_only,1.252221794377201,0.012363281674984893,0.03657607020716348,50,0.3769814796645578,-0.16059204782377584,50,0.8403575414853507,0.8745193878655936,0.6435385496489353,0.38090782197911915,0.5122231858140273,0.5280868039015213,0.8834740506836007,50,326
gpt-4o-mini,liwc_only,1.7902663997245758,0.5675858303879494,1.1722483119691818,50,0.2127866342405494,-0.04088594786408606,50,-0.09820529677148157,-0.06617788530371783,1.342850061341769,0.95766733006001,1.1502586957008896,-0.016409630499762223,-0.006793851113817629,50,1747
