model_key,steering_condition,liwc_MAE_LIWC,liwc_rho_LIWC,liwc_beta_LIWC,liwc_n_profiles,emb_rho_O,emb_rho_N,emb_n_profiles,bfi_rho_O,bfi_rho_N,bfi_standardized_mae_O,bfi_standardized_mae_N,bfi_MAE_BFI,bfi_slope_O,bfi_slope_N,bfi_n_profiles
deepseek-v3,persona_only,1.2841433135157856,-0.05273333577633056,-0.055000149104363905,80,0.2856523450381433,-0.11752291796470431,80,0.8265857801103487,0.8823408711240609,0.6469053415956465,0.3847595422186422,0.5158324419071444,0.5322638728207882,0.8590917369810706,80
deepseek-v3,liwc_only,2.799804921566828,0.7069815641017732,2.234306673816393,80,0.16733612412140847,-0.2186069323090838,80,-0.1729852149414265,0.10306111657322194,0.869918886138047,0.885376415816783,0.8776476509774149,-0.047206976188973654,0.07406814592544404,80
deepseek-v3,persona_liwc,2.587802160410745,0.621253159693129,1.8502265455751554,80,0.2843271658366773,-0.047522736357472464,80,0.7722741499981559,0.8206466563736389,0.5765181991360309,0.41777847309279104,0.49714833611441095,0.43576627264156426,0.725237963674732,80
deepseek-v3,lex_fewshot,2.9586953746799836,0.6403617223813344,2.237226125656923,80,-0.004514991084640988,-0.10772054747498137,80,-0.14387619917639527,0.18084539440970607,0.8384861745489005,0.8339033041086508,0.8361947393287756,-0.034060366684536145,0.12080089533092565,80
gpt-4o-mini,persona_only,1.094482180257983,0.028867951999327176,0.02104732179428918,80,0.27656372662100887,-0.03485938692098831,80,0.826523577293661,0.838275750843209,1.3209222136146055,0.46281442869072686,0.8918683211526661,0.28421143365613116,0.5039107575530809,80
gpt-4o-mini,liwc_only,1.8036682669669077,0.5803472993752687,1.1416195219639982,80,0.21398712291284183,0.14711763461070984,80,-0.12514082627856668,0.0787320765857331,1.3175346549345834,0.8934146962798797,1.1054746756072316,-0.02204938742455861,0.05551208015746316,80
gpt-4o-mini,persona_liwc,1.2521337950341,0.4666577087543483,0.724157625717075,80,0.3235782701491276,0.19195527187470557,80,0.7683194746440083,0.6635685103368031,1.333337536543668,0.5304673440791354,0.9319024403114017,0.2603126046803565,0.5019789140569495,80
gpt-4o-mini,lex_fewshot,1.7180699435944178,0.5897105995695399,1.0884118948785924,80,-0.00880716442744255,0.11717115825813529,80,-0.03359332534110339,0.15043863939166174,1.3121513170791637,0.8802736569271677,1.0962124870031658,-0.007084190612803391,0.08571366403223202,80
qwen3-32b,persona_only,1.1594467771162518,0.08124554679827517,0.08923021403390285,80,0.009358345157255867,0.35082168068482017,80,0.8384990977764506,0.8151074201110459,0.8562498924482888,0.43729554191538916,0.6467727171818389,0.38469825836090976,0.5574541855220434,80
qwen3-32b,liwc_only,1.9564664123461157,0.5115838812984248,1.4215482551457401,80,0.00874852817959007,-0.09165685420833017,80,-0.10449005379895658,0.04276877206510532,0.9683592047674012,0.9312562413946587,0.94980772308103,-0.011787587702575023,0.026665372296771718,80
qwen3-32b,persona_liwc,1.9103998547619618,0.44219390191956565,1.300444991357265,80,0.28125462644920735,0.202754294866374,80,0.8088826696351618,0.6830082267930224,0.8313519548669717,0.5737858993869683,0.7025689271269699,0.35694083042076985,0.4363165959564093,80
qwen3-32b,lex_fewshot,2.357277049888618,0.528171644084217,1.6730609453724923,80,0.12011049010102076,-0.11961002555701371,80,-0.11685301684986073,0.16876590930623392,0.9437304340788552,0.8935359235801814,0.9186331788295183,-0.01926282483668446,0.07079971120249637,80
