profile_id,O,N,emo_sad,focusfuture,mental,certitude,fatigue,Affect,adverb,swear
syn_0000,50.0,80.0,0.16,0.88,0.03,0.96,0.03681144102810663,5.21,6.89,0.17
syn_0001,17.0,40.0,0.11,1.27,0.16,0.95,0.0,3.6252803571082213,7.04,0.17
syn_0002,17.0,94.0,0.29,1.65,0.42,1.34,0.0,7.963170658597762,7.293675814722067,0.57
syn_0003,24.0,98.0,0.38,1.27,0.11,1.1,0.09,6.26,7.1,0.42
syn_0004,60.0,98.0,0.14,1.45,0.01,1.06,0.07,5.19,4.817377406570462,0.33
syn_0005,8.0,15.0,0.07,1.2,0.06,0.42062129892990296,0.04,6.32,5.78,0.2
syn_0006,41.0,43.0,0.18,0.77,0.05,0.77,0.07,4.52,6.55,0.24
syn_0007,1.0,61.0,0.11,1.4,0.18,0.64,0.07,5.16,3.8351478517423416,0.34
syn_0008,39.0,75.0,0.06,1.11,0.07,1.15,0.06,6.531709524229245,6.420919683659659,0.45
syn_0009,26.0,26.0,0.18,1.74,0.04,0.83,0.0,5.07,7.638584569797328,0.29
syn_0010,28.0,9.0,0.14,1.4,0.0,0.81,0.04,7.31067214118548,6.19,1.014751532866203
syn_0011,84.92988441557782,90.0,0.04,1.3,0.04,0.8,0.02,5.447040685662143,5.66,0.21
syn_0012,6.0,46.0,0.24111258835817578,0.6400226568737785,0.3147719320638362,1.21,0.0,4.71,6.19,0.12
syn_0013,34.0,81.0,0.14,1.52,0.3472933434171182,1.09,0.09,4.73,8.22,0.05
syn_0014,65.0,65.0,0.03,0.73,0.03,0.64,0.06,5.08,5.364550368023329,0.28
syn_0015,30.0,82.0,0.08,1.3,0.23,0.96,0.01,7.439523183621562,7.0,0.38
syn_0016,5.0,72.0,0.11,0.89,0.12,1.7857703555687567,0.04,5.80626815453647,8.28,0.2
syn_0017,95.0,75.0,0.12,1.08,0.05,1.09,0.06,6.33,6.79,0.49159132421433466
syn_0018,34.0,36.0,0.12,1.07,0.06,0.86,0.12,5.878032442932981,6.97,0.3
syn_0019,50.0,34.0,0.21,1.52,0.05,1.6825317612837851,0.18,5.891519763704041,7.510156738192922,0.11
syn_0020,15.0,61.0,0.07,3.5822515689216154,0.27,1.2,0.06,6.202147992105014,8.42162195869407,0.26
syn_0021,80.0,97.0,0.18,1.12,0.20389117942416987,0.79,0.02,4.2,7.14,0.06
syn_0022,29.0,70.0,0.22,1.53,0.22,0.61,0.0,5.8,5.97,0.58
syn_0023,9.0,92.0,0.06,1.42,0.01,0.64,0.11,4.93,6.54,0.7
syn_0024,85.0,25.0,0.08,1.73,0.3,0.92,0.03,4.89,7.89,0.39
syn_0025,65.0,43.0,0.311569876576923,1.02,0.13,1.87,0.286824956082055,9.395755451466416,9.12,1.4981532470773504
syn_0026,39.0,6.0,0.16,1.21,0.03,1.17,0.0,5.2,7.12,0.12864006337111505
syn_0027,17.0,1.0,0.0,1.57,0.18,0.91,0.08,5.87,6.168232705394349,1.36
syn_0028,3.0,72.0,0.21,1.29,0.05,0.6385131553920652,0.07385038307351466,5.29,6.12,0.21
syn_0029,65.0,47.492758902826495,0.14,1.95,0.04,1.8,0.1,6.45,8.796507396962829,0.34
syn_0030,65.0,5.0,0.06,1.21,0.07,0.51,0.02,3.8338165124634,6.205527775644485,0.0
syn_0031,41.0,61.0,0.13,1.42,0.1,1.33,0.0,5.24,6.47,0.13074298275635557
syn_0032,50.0,14.0,0.05,1.25,0.13,1.8611169033230703,0.08,6.02,6.81,0.25167485127909234
syn_0033,95.0,67.31253834377128,0.08,1.12,0.07,0.99,0.06,7.05,5.2580321616192816,0.5
syn_0034,15.0,26.0,0.03,0.78,0.0,1.13,0.06,5.7,7.79,0.18
syn_0035,15.0,53.0,0.14,1.31,0.15,1.062231663194151,0.07,6.258629021225891,7.0,0.36
syn_0036,76.0,8.0,0.0,1.3390642552555585,0.1,1.48,0.0,5.66,6.93,0.06
syn_0037,9.0,22.0,0.21,1.46,0.8801387924989718,0.6,0.09,4.8,5.7,0.32
syn_0038,15.0,66.0,0.1,1.27,0.3,0.67,0.2,5.09,6.203172981503823,0.22
syn_0039,34.0,96.0,0.38,1.13,0.1,0.78,0.06,4.547290345072227,6.57,0.21
syn_0040,24.0,80.0,0.09,1.38,0.0,0.74,0.0,6.184281619785058,7.25,0.34
syn_0041,85.0,26.67592729569361,0.0,0.89,0.0,0.7,0.11,4.59375284234265,6.34,0.15
syn_0042,41.0,3.0,0.13,1.32,0.22,0.52,0.04,6.07,5.5112288383839525,0.82
syn_0043,53.0,72.0,0.25,0.87,0.04,0.93,0.02,5.44,5.99,0.51
syn_0044,5.442472208574458,85.0,0.11,1.27,0.08,1.16,0.1479077261614998,5.09,6.44,0.66
syn_0045,85.0,70.0,0.08,1.18,0.1276608845802025,0.84,0.07,4.68,7.56,0.23
syn_0046,15.0,98.0,0.12,1.36,0.07,0.69,0.0,4.87,4.53,0.66
syn_0047,11.0,92.0,0.0,1.17,0.35,1.17,0.06,6.593765554198444,7.11,0.64
syn_0048,3.0,93.0,0.07,1.67,0.06,1.24,0.02,4.378069892617953,6.0,0.47
syn_0049,44.0,99.0,0.02,1.13,0.03,0.45,0.04,5.18,5.32,0.78
syn_0050,13.0,80.0,0.1,1.8230414120429441,0.16,0.74,0.03,6.28,5.46,1.43
syn_0051,89.0,36.0,0.22,1.48,0.11,0.63,0.09,5.09,5.96,0.19
syn_0052,20.0,84.08971515064968,0.16,1.15,0.18,0.88,0.08,5.05,6.97812476744571,0.4409911604770855
