model,method,MAE_LIWC,rho_LIWC,beta_LIWC,rho_O,rho_N,n_authors
DeepSeek-V3,Persona,1.2841,-0.0527,-0.055,0.2857,-0.1175,80
DeepSeek-V3,LIWC-only,2.7998,0.707,2.2343,0.1673,-0.2186,80
DeepSeek-V3,Persona+LIWC,2.5878,0.6213,1.8502,0.2843,-0.0475,80
DeepSeek-V3,LIWC+Fewshot,2.9587,0.6404,2.2372,-0.0045,-0.1077,80
GPT-4o-mini,Persona,1.0945,0.0289,0.021,0.2766,-0.0349,80
GPT-4o-mini,LIWC-only,1.8037,0.5803,1.1416,0.214,0.1471,80
GPT-4o-mini,Persona+LIWC,1.2521,0.4667,0.7242,0.3236,0.192,80
GPT-4o-mini,LIWC+Fewshot,1.7181,0.5897,1.0884,-0.0088,0.1172,80
Qwen3-32B,Persona,1.1594,0.0812,0.0892,0.0094,0.3508,80
Qwen3-32B,LIWC-only,1.9565,0.5116,1.4215,0.0087,-0.0917,80
Qwen3-32B,Persona+LIWC,1.9104,0.4422,1.3004,0.2813,0.2028,80
Qwen3-32B,LIWC+Fewshot,2.3573,0.5282,1.6731,0.1201,-0.1196,80
