author_id,O,N,n_essays,total_word_count,liwc_wc,emo_sad,focusfuture,mental,certitude,fatigue,Affect,adverb,swear
0,17.0,40.0,33482,1836104.0,1847823.0,0.16,1.71,0.08,0.93,0.07,7.16,6.71,0.28
1,15.0,15.0,28837,1272412.0,1277255.0,0.12,1.27,0.08,1.15,0.11,6.57,6.89,0.82
2,9.0,72.0,28059,909505.0,935056.0,0.06,1.58,0.06,1.18,0.08,4.96,8.27,0.27
3,91.0,73.0,27467,1143891.0,1155153.0,0.12,1.2,0.09,1.04,0.07,5.93,7.71,0.57
4,76.0,75.0,23593,288795.0,309837.0,0.13,1.29,0.1,0.77,0.05,6.86,5.23,1.02
5,3.0,92.0,22679,767993.0,780363.0,0.14,1.09,0.12,0.83,0.07,4.85,6.43,0.63
6,9.0,87.0,19046,550977.0,561084.0,0.19,1.16,0.42,1.33,0.1,6.76,7.69,0.85
7,1.0,97.0,18730,608817.0,613443.0,0.06,1.21,0.46,0.63,0.05,5.91,6.11,0.99
8,38.0,17.0,17449,247133.0,251233.0,0.1,1.75,0.02,1.26,0.08,7.73,7.89,0.07
9,18.0,80.0,15528,182084.0,182573.0,0.05,2.06,0.03,1.28,0.04,6.49,7.7,0.85
10,85.0,71.0,15012,1321046.0,1337311.0,0.03,1.21,0.03,1.07,0.07,4.56,6.5,0.4
11,45.0,28.0,14352,673741.0,701989.0,0.05,1.03,0.01,0.53,0.02,2.28,4.27,0.09
12,44.0,58.0,13170,201810.0,203339.0,0.15,1.28,0.07,1.21,0.14,6.52,7.63,0.82
13,71.0,52.0,13133,208316.0,209925.0,0.17,1.44,0.09,0.7,0.13,6.54,5.95,0.58
14,8.0,73.0,12947,287662.0,290292.0,0.33,1.09,0.03,1.02,0.06,5.88,6.54,0.29
15,79.0,54.0,12609,259240.0,261006.0,0.18,1.19,0.07,1.18,0.13,6.16,7.71,0.59
16,85.0,85.0,12181,290168.0,293485.0,0.1,1.67,0.16,0.82,0.08,5.51,6.33,0.46
17,38.0,69.0,12118,530088.0,535065.0,0.09,0.93,0.07,1.44,0.06,4.62,6.57,0.44
18,3.0,1.0,11811,204167.0,205889.0,0.13,1.47,0.02,1.15,0.08,6.95,6.39,1.11
19,70.0,51.0,11158,160556.0,161311.0,0.07,1.43,0.04,0.87,0.03,6.84,6.42,1.9
20,10.0,18.0,10993,736064.0,744437.0,0.11,1.29,0.07,1.06,0.06,6.07,7.34,0.36
21,9.0,7.0,10766,311780.0,313254.0,0.13,1.18,0.05,1.19,0.1,6.51,6.7,0.91
22,34.0,6.0,10715,246295.0,248956.0,0.08,1.39,0.02,1.22,0.03,5.88,6.52,0.5
23,92.0,94.0,10365,339378.0,346583.0,0.06,1.14,0.03,1.07,0.06,4.35,6.44,0.22
24,52.0,55.0,10233,237044.0,234821.0,0.12,1.93,0.03,1.21,0.09,6.03,7.34,0.69
25,39.0,61.0,10031,453139.0,457169.0,0.06,1.33,0.08,0.64,0.02,4.68,5.13,0.12
26,7.0,3.0,9863,523376.0,523884.0,0.07,1.08,0.05,1.06,0.06,5.18,6.06,0.28
27,81.0,9.0,9673,504537.0,513811.0,0.09,1.04,0.01,0.94,0.08,4.81,6.02,0.05
28,85.0,85.0,9647,363744.0,369285.0,0.12,1.27,0.23,1.42,0.05,5.5,7.42,0.19
29,65.0,21.0,9559,440298.0,444309.0,0.06,1.44,0.04,0.74,0.08,5.32,6.07,0.54
30,57.0,55.0,9493,587562.0,592434.0,0.15,1.85,0.15,0.63,0.07,5.81,5.86,0.4
31,12.0,84.0,9268,179303.0,183139.0,0.13,1.12,0.05,2.01,0.13,6.47,8.24,0.5
32,40.0,95.0,9140,164303.0,164942.0,0.08,1.25,0.04,1.56,0.07,5.68,7.4,1.01
33,34.0,90.0,9129,833002.0,838568.0,0.06,1.06,0.05,0.99,0.03,5.08,5.46,0.14
34,87.0,49.0,8748,109842.0,110573.0,0.17,1.38,0.02,1.14,0.1,8.57,6.66,1.85
35,91.0,32.0,8682,525614.0,527025.0,0.07,1.63,0.09,0.96,0.05,5.11,6.54,0.18
