profile_id,O,N,emo_sad,focusfuture,mental,certitude,fatigue,Affect,adverb,swear
syn_0000,50.0,80.0,0.16,0.88,0.03,0.96,0.03681144102810663,5.21,6.89,0.17
syn_0001,17.0,40.0,0.11,1.27,0.16,0.95,0.0,3.6252803571082213,7.04,0.17
syn_0002,17.0,94.0,0.29,1.65,0.42,1.34,0.0,7.963170658597762,7.293675814722067,0.57
syn_0003,24.0,98.0,0.38,1.27,0.11,1.1,0.09,6.26,7.1,0.42
syn_0004,60.0,98.0,0.14,1.45,0.01,1.06,0.07,5.19,4.817377406570462,0.33
syn_0005,8.0,15.0,0.07,1.2,0.06,0.42062129892990296,0.04,6.32,5.78,0.2
syn_0006,41.0,43.0,0.18,0.77,0.05,0.77,0.07,4.52,6.55,0.24
syn_0007,1.0,61.0,0.11,1.4,0.18,0.64,0.07,5.16,3.8351478517423416,0.34
syn_0008,39.0,75.0,0.06,1.11,0.07,1.15,0.06,6.531709524229245,6.420919683659659,0.45
syn_0009,26.0,26.0,0.18,1.74,0.04,0.83,0.0,5.07,7.638584569797328,0.29
syn_0010,28.0,9.0,0.14,1.4,0.0,0.81,0.04,7.31067214118548,6.19,1.014751532866203
syn_0011,84.92988441557782,90.0,0.04,1.3,0.04,0.8,0.02,5.447040685662143,5.66,0.21
