plan_id,profile_id,content,steering_condition,repetition,model,target_O,target_N
syn_0000__weekend__persona_only__r0,syn_0000,weekend,persona_only,0,deepseek-chat,50.0,80.0
syn_0000__weekend__liwc_only__r0,syn_0000,weekend,liwc_only,0,deepseek-chat,50.0,80.0
syn_0000__weekend__persona_liwc__r0,syn_0000,weekend,persona_liwc,0,deepseek-chat,50.0,80.0
syn_0000__weekend__lex_fewshot__r0,syn_0000,weekend,lex_fewshot,0,deepseek-chat,50.0,80.0
syn_0000__technology__persona_only__r0,syn_0000,technology,persona_only,0,deepseek-chat,50.0,80.0
syn_0000__technology__liwc_only__r0,syn_0000,technology,liwc_only,0,deepseek-chat,50.0,80.0
syn_0000__technology__persona_liwc__r0,syn_0000,technology,persona_liwc,0,deepseek-chat,50.0,80.0
syn_0000__technology__lex_fewshot__r0,syn_0000,technology,lex_fewshot,0,deepseek-chat,50.0,80.0
syn_0001__weekend__persona_only__r0,syn_0001,weekend,persona_only,0,deepseek-chat,17.0,40.0
syn_0001__weekend__liwc_only__r0,syn_0001,weekend,liwc_only,0,deepseek-chat,17.0,40.0
syn_0001__weekend__persona_liwc__r0,syn_0001,weekend,persona_liwc,0,deepseek-chat,17.0,40.0
syn_0001__weekend__lex_fewshot__r0,syn_0001,weekend,lex_fewshot,0,deepseek-chat,17.0,40.0
syn_0001__technology__persona_only__r0,syn_0001,technology,persona_only,0,deepseek-chat,17.0,40.0
syn_0001__technology__liwc_only__r0,syn_0001,technology,liwc_only,0,deepseek-chat,17.0,40.0
syn_0001__technology__persona_liwc__r0,syn_0001,technology,persona_liwc,0,deepseek-chat,17.0,40.0
syn_0001__technology__lex_fewshot__r0,syn_0001,technology,lex_fewshot,0,deepseek-chat,17.0,40.0
syn_0002__weekend__persona_only__r0,syn_0002,weekend,persona_only,0,deepseek-chat,17.0,94.0
syn_0002__weekend__liwc_only__r0,syn_0002,weekend,liwc_only,0,deepseek-chat,17.0,94.0
syn_0002__weekend__persona_liwc__r0,syn_0002,weekend,persona_liwc,0,deepseek-chat,17.0,94.0
syn_0002__weekend__lex_fewshot__r0,syn_0002,weekend,lex_fewshot,0,deepseek-chat,17.0,94.0
syn_0002__technology__persona_only__r0,syn_0002,technology,persona_only,0,deepseek-chat,17.0,94.0
syn_0002__technology__liwc_only__r0,syn_0002,technology,liwc_only,0,deepseek-chat,17.0,94.0
syn_0002__technology__persona_liwc__r0,syn_0002,technology,persona_liwc,0,deepseek-chat,17.0,94.0
syn_0002__technology__lex_fewshot__r0,syn_0002,technology,lex_fewshot,0,deepseek-chat,17.0,94.0
syn_0003__weekend__persona_only__r0,syn_0003,weekend,persona_only,0,deepseek-chat,24.0,98.0
syn_0003__weekend__liwc_only__r0,syn_0003,weekend,liwc_only,0,deepseek-chat,24.0,98.0
syn_0003__weekend__persona_liwc__r0,syn_0003,weekend,persona_liwc,0,deepseek-chat,24.0,98.0
syn_0003__weekend__lex_fewshot__r0,syn_0003,weekend,lex_fewshot,0,deepseek-chat,24.0,98.0
syn_0003__technology__persona_only__r0,syn_0003,technology,persona_only,0,deepseek-chat,24.0,98.0
syn_0003__technology__liwc_only__r0,syn_0003,technology,liwc_only,0,deepseek-chat,24.0,98.0
syn_0003__technology__persona_liwc__r0,syn_0003,technology,persona_liwc,0,deepseek-chat,24.0,98.0
syn_0003__technology__lex_fewshot__r0,syn_0003,technology,lex_fewshot,0,deepseek-chat,24.0,98.0
syn_0004__weekend__persona_only__r0,syn_0004,weekend,persona_only,0,deepseek-chat,60.0,98.0
syn_0004__weekend__liwc_only__r0,syn_0004,weekend,liwc_only,0,deepseek-chat,60.0,98.0
syn_0004__weekend__persona_liwc__r0,syn_0004,weekend,persona_liwc,0,deepseek-chat,60.0,98.0
syn_0004__weekend__lex_fewshot__r0,syn_0004,weekend,lex_fewshot,0,deepseek-chat,60.0,98.0
syn_0004__technology__persona_only__r0,syn_0004,technology,persona_only,0,deepseek-chat,60.0,98.0
syn_0004__technology__liwc_only__r0,syn_0004,technology,liwc_only,0,deepseek-chat,60.0,98.0
syn_0004__technology__persona_liwc__r0,syn_0004,technology,persona_liwc,0,deepseek-chat,60.0,98.0
syn_0004__technology__lex_fewshot__r0,syn_0004,technology,lex_fewshot,0,deepseek-chat,60.0,98.0
syn_0005__weekend__persona_only__r0,syn_0005,weekend,persona_only,0,deepseek-chat,8.0,15.0
syn_0005__weekend__liwc_only__r0,syn_0005,weekend,liwc_only,0,deepseek-chat,8.0,15.0
syn_0005__weekend__persona_liwc__r0,syn_0005,weekend,persona_liwc,0,deepseek-chat,8.0,15.0
syn_0005__weekend__lex_fewshot__r0,syn_0005,weekend,lex_fewshot,0,deepseek-chat,8.0,15.0
syn_0005__technology__persona_only__r0,syn_0005,technology,persona_only,0,deepseek-chat,8.0,15.0
syn_0005__technology__liwc_only__r0,syn_0005,technology,liwc_only,0,deepseek-chat,8.0,15.0
syn_0005__technology__persona_liwc__r0,syn_0005,technology,persona_liwc,0,deepseek-chat,8.0,15.0
syn_0005__technology__lex_fewshot__r0,syn_0005,technology,lex_fewshot,0,deepseek-chat,8.0,15.0
syn_0006__weekend__persona_only__r0,syn_0006,weekend,persona_only,0,deepseek-chat,41.0,43.0
syn_0006__weekend__liwc_only__r0,syn_0006,weekend,liwc_only,0,deepseek-chat,41.0,43.0
syn_0006__weekend__persona_liwc__r0,syn_0006,weekend,persona_liwc,0,deepseek-chat,41.0,43.0
syn_0006__weekend__lex_fewshot__r0,syn_0006,weekend,lex_fewshot,0,deepseek-chat,41.0,43.0
syn_0006__technology__persona_only__r0,syn_0006,technology,persona_only,0,deepseek-chat,41.0,43.0
syn_0006__technology__liwc_only__r0,syn_0006,technology,liwc_only,0,deepseek-chat,41.0,43.0
syn_0006__technology__persona_liwc__r0,syn_0006,technology,persona_liwc,0,deepseek-chat,41.0,43.0
syn_0006__technology__lex_fewshot__r0,syn_0006,technology,lex_fewshot,0,deepseek-chat,41.0,43.0
syn_0007__weekend__persona_only__r0,syn_0007,weekend,persona_only,0,deepseek-chat,1.0,61.0
syn_0007__weekend__liwc_only__r0,syn_0007,weekend,liwc_only,0,deepseek-chat,1.0,61.0
syn_0007__weekend__persona_liwc__r0,syn_0007,weekend,persona_liwc,0,deepseek-chat,1.0,61.0
syn_0007__weekend__lex_fewshot__r0,syn_0007,weekend,lex_fewshot,0,deepseek-chat,1.0,61.0
syn_0007__technology__persona_only__r0,syn_0007,technology,persona_only,0,deepseek-chat,1.0,61.0
syn_0007__technology__liwc_only__r0,syn_0007,technology,liwc_only,0,deepseek-chat,1.0,61.0
syn_0007__technology__persona_liwc__r0,syn_0007,technology,persona_liwc,0,deepseek-chat,1.0,61.0
syn_0007__technology__lex_fewshot__r0,syn_0007,technology,lex_fewshot,0,deepseek-chat,1.0,61.0
syn_0008__weekend__persona_only__r0,syn_0008,weekend,persona_only,0,deepseek-chat,39.0,75.0
syn_0008__weekend__liwc_only__r0,syn_0008,weekend,liwc_only,0,deepseek-chat,39.0,75.0
syn_0008__weekend__persona_liwc__r0,syn_0008,weekend,persona_liwc,0,deepseek-chat,39.0,75.0
syn_0008__weekend__lex_fewshot__r0,syn_0008,weekend,lex_fewshot,0,deepseek-chat,39.0,75.0
syn_0008__technology__persona_only__r0,syn_0008,technology,persona_only,0,deepseek-chat,39.0,75.0
syn_0008__technology__liwc_only__r0,syn_0008,technology,liwc_only,0,deepseek-chat,39.0,75.0
syn_0008__technology__persona_liwc__r0,syn_0008,technology,persona_liwc,0,deepseek-chat,39.0,75.0
syn_0008__technology__lex_fewshot__r0,syn_0008,technology,lex_fewshot,0,deepseek-chat,39.0,75.0
syn_0009__weekend__persona_only__r0,syn_0009,weekend,persona_only,0,deepseek-chat,26.0,26.0
syn_0009__weekend__liwc_only__r0,syn_0009,weekend,liwc_only,0,deepseek-chat,26.0,26.0
syn_0009__weekend__persona_liwc__r0,syn_0009,weekend,persona_liwc,0,deepseek-chat,26.0,26.0
syn_0009__weekend__lex_fewshot__r0,syn_0009,weekend,lex_fewshot,0,deepseek-chat,26.0,26.0
syn_0009__technology__persona_only__r0,syn_0009,technology,persona_only,0,deepseek-chat,26.0,26.0
syn_0009__technology__liwc_only__r0,syn_0009,technology,liwc_only,0,deepseek-chat,26.0,26.0
syn_0009__technology__persona_liwc__r0,syn_0009,technology,persona_liwc,0,deepseek-chat,26.0,26.0
syn_0009__technology__lex_fewshot__r0,syn_0009,technology,lex_fewshot,0,deepseek-chat,26.0,26.0
syn_0010__weekend__persona_only__r0,syn_0010,weekend,persona_only,0,deepseek-chat,28.0,9.0
syn_0010__weekend__liwc_only__r0,syn_0010,weekend,liwc_only,0,deepseek-chat,28.0,9.0
syn_0010__weekend__persona_liwc__r0,syn_0010,weekend,persona_liwc,0,deepseek-chat,28.0,9.0
syn_0010__weekend__lex_fewshot__r0,syn_0010,weekend,lex_fewshot,0,deepseek-chat,28.0,9.0
syn_0010__technology__persona_only__r0,syn_0010,technology,persona_only,0,deepseek-chat,28.0,9.0
syn_0010__technology__liwc_only__r0,syn_0010,technology,liwc_only,0,deepseek-chat,28.0,9.0
syn_0010__technology__persona_liwc__r0,syn_0010,technology,persona_liwc,0,deepseek-chat,28.0,9.0
syn_0010__technology__lex_fewshot__r0,syn_0010,technology,lex_fewshot,0,deepseek-chat,28.0,9.0
