profile_id,steering_condition,target_O,target_N,pred_O,pred_N,n_essays
syn_0000,lex_fewshot,50.0,80.0,30.686539,58.401955,2
syn_0000,liwc_only,50.0,80.0,42.492363,53.41098,2
syn_0000,persona_liwc,50.0,80.0,37.307785,55.613735,2
syn_0000,persona_only,50.0,80.0,38.75092,60.684875,2
syn_0001,lex_fewshot,17.0,40.0,29.247091,59.906094,2
syn_0001,liwc_only,17.0,40.0,31.11714,73.058655,2
syn_0001,persona_liwc,17.0,40.0,37.27517,60.512005,2
syn_0001,persona_only,17.0,40.0,44.222847,63.842247,2
syn_0002,lex_fewshot,17.0,94.0,39.76824,63.01885,2
syn_0002,liwc_only,17.0,94.0,42.965668,59.4887,2
syn_0002,persona_liwc,17.0,94.0,38.01323,49.076008,2
syn_0002,persona_only,17.0,94.0,30.224297,54.304993,2
syn_0003,lex_fewshot,24.0,98.0,32.68841,57.431778,2
syn_0003,liwc_only,24.0,98.0,37.519432,56.343315,2
syn_0003,persona_liwc,24.0,98.0,38.00025,56.516045,2
syn_0003,persona_only,24.0,98.0,38.645706,64.915726,2
syn_0004,lex_fewshot,60.0,98.0,44.096535,56.94984,2
syn_0004,liwc_only,60.0,98.0,34.59709,64.67461,2
syn_0004,persona_liwc,60.0,98.0,43.470444,58.98378,2
syn_0004,persona_only,60.0,98.0,46.260246,60.489433,2
syn_0005,lex_fewshot,8.0,15.0,42.958267,53.182568,2
syn_0005,liwc_only,8.0,15.0,32.94757,57.46038,2
syn_0005,persona_liwc,8.0,15.0,43.596085,61.133133,2
syn_0005,persona_only,8.0,15.0,44.0375,51.930916,2
syn_0006,lex_fewshot,41.0,43.0,33.17481,53.92426,2
syn_0006,liwc_only,41.0,43.0,36.129204,52.16976,2
syn_0006,persona_liwc,41.0,43.0,42.767776,51.443874,2
syn_0006,persona_only,41.0,43.0,44.11201,55.78917,2
syn_0007,lex_fewshot,1.0,61.0,46.40119,51.43973,2
syn_0007,liwc_only,1.0,61.0,46.624306,56.143143,2
syn_0007,persona_liwc,1.0,61.0,40.446075,63.128716,2
syn_0007,persona_only,1.0,61.0,33.48951,55.997547,2
syn_0008,lex_fewshot,39.0,75.0,41.380024,61.280666,2
syn_0008,liwc_only,39.0,75.0,38.20675,54.507324,2
syn_0008,persona_liwc,39.0,75.0,39.908653,52.22715,2
syn_0008,persona_only,39.0,75.0,46.283684,56.65991,2
syn_0009,lex_fewshot,26.0,26.0,41.045906,58.26966,2
syn_0009,liwc_only,26.0,26.0,34.84145,56.95428,2
syn_0009,persona_liwc,26.0,26.0,34.62846,64.38246,2
syn_0009,persona_only,26.0,26.0,43.14431,57.964035,2
syn_0010,lex_fewshot,28.0,9.0,52.055897,57.145336,2
syn_0010,liwc_only,28.0,9.0,43.74813,51.33728,2
syn_0010,persona_liwc,28.0,9.0,49.196594,51.515404,2
syn_0010,persona_only,28.0,9.0,39.120964,55.58886,2
syn_0011,lex_fewshot,84.92988441557782,90.0,40.61179,64.30038,2
syn_0011,liwc_only,84.92988441557782,90.0,52.750854,55.055786,2
syn_0011,persona_liwc,84.92988441557782,90.0,48.49201,62.896095,2
syn_0011,persona_only,84.92988441557782,90.0,45.134235,57.1212,2
