plan_id,profile_id,content,steering_condition,repetition,model_key,model,target_O,target_N,pred_O,pred_N,err_O,err_N,n_words,standardized_mae
syn_0000__weekend__persona_only__r0,syn_0000,weekend,persona_only,0,deepseek-chat,deepseek-chat,50.0,80.0,44.742992,62.825184,-5.257007598876953,-17.174816131591797,193,2.161004739990665
syn_0000__weekend__liwc_only__r0,syn_0000,weekend,liwc_only,0,deepseek-chat,deepseek-chat,50.0,80.0,46.350605,48.367813,-3.649394989013672,-31.632186889648438,164,1.6629442687581524
syn_0000__weekend__persona_liwc__r0,syn_0000,weekend,persona_liwc,0,deepseek-chat,deepseek-chat,50.0,80.0,35.396633,57.766197,-14.60336685180664,-22.233802795410156,179,2.6244593136714807
syn_0000__technology__persona_only__r0,syn_0000,technology,persona_only,0,deepseek-chat,deepseek-chat,50.0,80.0,32.758846,58.54457,-17.241153717041016,-21.455429077148438,199,2.588332058041689
syn_0000__technology__liwc_only__r0,syn_0000,technology,liwc_only,0,deepseek-chat,deepseek-chat,50.0,80.0,38.634125,58.454144,-11.365875244140625,-21.545856475830078,164,3.371325595493876
syn_0000__technology__persona_liwc__r0,syn_0000,technology,persona_liwc,0,deepseek-chat,deepseek-chat,50.0,80.0,39.218933,53.461273,-10.78106689453125,-26.538726806640625,189,5.029047137829869
syn_0001__weekend__persona_only__r0,syn_0001,weekend,persona_only,0,deepseek-chat,deepseek-chat,17.0,40.0,42.985966,62.14235,25.985965728759766,22.142349243164062,220,2.434733160834453
syn_0001__weekend__liwc_only__r0,syn_0001,weekend,liwc_only,0,deepseek-chat,deepseek-chat,17.0,40.0,25.235699,64.4594,8.235698699951172,24.459396362304688,171,2.4377742158749354
syn_0001__weekend__persona_liwc__r0,syn_0001,weekend,persona_liwc,0,deepseek-chat,deepseek-chat,17.0,40.0,39.86725,62.049767,22.86724853515625,22.049766540527344,180,1.0794124812877526
syn_0001__technology__persona_only__r0,syn_0001,technology,persona_only,0,deepseek-chat,deepseek-chat,17.0,40.0,45.459724,65.542145,28.45972442626953,25.542144775390625,177,1.4283428924159196
syn_0001__technology__liwc_only__r0,syn_0001,technology,liwc_only,0,deepseek-chat,deepseek-chat,17.0,40.0,36.99858,81.65792,19.998580932617188,41.657920837402344,176,4.488757565874588
syn_0001__technology__persona_liwc__r0,syn_0001,technology,persona_liwc,0,deepseek-chat,deepseek-chat,17.0,40.0,34.68309,58.974243,17.683090209960938,18.9742431640625,171,3.862665732049383
syn_0002__weekend__persona_only__r0,syn_0002,weekend,persona_only,0,deepseek-chat,deepseek-chat,17.0,94.0,40.97714,51.569115,23.97713851928711,-42.430885314941406,183,1.6618690899060893
syn_0002__weekend__liwc_only__r0,syn_0002,weekend,liwc_only,0,deepseek-chat,deepseek-chat,17.0,94.0,52.01278,63.35133,35.012779235839844,-30.648670196533203,185,3.852928053241637
syn_0002__weekend__persona_liwc__r0,syn_0002,weekend,persona_liwc,0,deepseek-chat,deepseek-chat,17.0,94.0,37.050053,44.48121,20.050052642822266,-49.51879119873047,172,2.3944512805793083
syn_0002__technology__persona_only__r0,syn_0002,technology,persona_only,0,deepseek-chat,deepseek-chat,17.0,94.0,19.471453,57.04087,2.4714527130126953,-36.959129333496094,164,3.0989371409775153
syn_0002__technology__liwc_only__r0,syn_0002,technology,liwc_only,0,deepseek-chat,deepseek-chat,17.0,94.0,33.918556,55.626076,16.918556213378906,-38.373924255371094,192,3.7798846349292905
syn_0002__technology__persona_liwc__r0,syn_0002,technology,persona_liwc,0,deepseek-chat,deepseek-chat,17.0,94.0,38.97641,53.670807,21.976409912109375,-40.329193115234375,162,4.626287695497556
syn_0003__weekend__persona_only__r0,syn_0003,weekend,persona_only,0,deepseek-chat,deepseek-chat,24.0,98.0,44.157272,49.210953,20.157272338867188,-48.78904724121094,207,1.552710928199742
